Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Country Code
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,HKG
India,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",8.7,,2019,%,1.1.1.b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.13,,2019,%,1.1.1.b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1.b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1.b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.2,,2019,%,1.1.1.b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",8.73,,2019,%,1.1.1.b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1.b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1.b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1.b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.98,,2019,%,1.1.1.b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",4.82,,2019,%,1.1.1.b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3,,2019,%,1.1.1.b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,PLW
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",18.23,,2019,%,1.1.1.b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",2.75,,2019,%,1.1.1.b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",22.67,,2019,%,1.1.1.b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.38,,2019,%,1.1.1.b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.09,,2019,%,1.1.1.b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",1.96,,2019,%,1.1.1.b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.07,,2019,%,1.1.1.b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",19.23,,2019,%,1.1.1.b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.41,,2019,%,1.1.1.b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",8.95,,2019,%,1.1.1.b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",,,,%,1.1.1.b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",1.48,,2019,%,1.1.1.b,VIE
Afghanistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.35,,2022,%,1.1.1.b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2022,%,1.1.1.b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.74,,2022,%,1.1.1.b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.14,,2022,%,1.1.1.b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",14.24,,2022,%,1.1.1.b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2022,%,1.1.1.b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.27,,2022,%,1.1.1.b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.42,,2022,%,1.1.1.b,GEO
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,HKG
India,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",5.74,,2022,%,1.1.1.b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.28,,2022,%,1.1.1.b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.09,,2022,%,1.1.1.b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0,,2022,%,1.1.1.b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.29,,2022,%,1.1.1.b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",10.03,,2022,%,1.1.1.b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.09,,2022,%,1.1.1.b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.09,,2022,%,1.1.1.b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.09,,2022,%,1.1.1.b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.82,,2020,%,1.1.1.b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",5.09,,2022,%,1.1.1.b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.36,,2022,%,1.1.1.b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,PLW
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",24.41,,2022,%,1.1.1.b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.22,,2022,%,1.1.1.b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",23.06,,2022,%,1.1.1.b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.39,,2022,%,1.1.1.b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.09,,2022,%,1.1.1.b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.62,,2022,%,1.1.1.b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2022,%,1.1.1.b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",14.17,,2022,%,1.1.1.b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.58,,2022,%,1.1.1.b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",6.56,,2022,%,1.1.1.b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",,,,%,1.1.1.b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.24,,2022,%,1.1.1.b,VIE
Afghanistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,AFG
Armenia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,2.4,,2013-2018,%,10.1.1,ARM
Azerbaijan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,AZE
Bangladesh,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,1.54,,2010-2016,%,10.1.1,BAN
Bhutan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,1.67,,2012-2017,%,10.1.1,BHU
Brunei Darussalam,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,BRU
Cambodia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,CAM
"China, People's Republic of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita,6.28,,2014-2019,%,10.1.1,PRC
Cook Islands,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,COO
Fiji,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,FIJ
Georgia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,-0.89,,2016-2021,%,10.1.1,GEO
"Hong Kong, China",10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,HKG
India,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,4.86,,2015-2019,%,10.1.1,IND
Indonesia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,2.4,,2017-2022,%,10.1.1,INO
Kazakhstan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,-0.23,,2013-2018,%,10.1.1,KAZ
Kiribati,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,KIR
"Korea, Republic of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita,2.25,,2012-2016,%,10.1.1,KOR
Kyrgyz Republic,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,1.14,,2015-2020,%,10.1.1,KGZ
Lao People's Democratic Republic,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,3.07,,2012-2018,%,10.1.1,LAO
Malaysia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,4.4,,2015-2018,%,10.1.1,MAL
Maldives,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,MLD
Marshall Islands,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,RMI
"Micronesia, Federated States of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,FSM
Mongolia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,3.11,,2016-2018,%,10.1.1,MON
Myanmar,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,1.28,,2015-2017,%,10.1.1,MYA
Nauru,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,NAU
Nepal,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,NEP
Niue,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,NIU
Pakistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,1.25,,2013-2018,%,10.1.1,PAK
Palau,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,PLW
Papua New Guinea,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,PNG
Philippines,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,0.79,,2015-2021,%,10.1.1,PHI
Samoa,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,SAM
Singapore,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,SIN
Solomon Islands,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,SOL
Sri Lanka,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,0.65,,2016-2019,%,10.1.1,SRI
"Taipei,China",10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,TAP
Tajikistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,2.67,,2009-2015,%,10.1.1,TAJ
Thailand,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,0.08,,2015-2019,%,10.1.1,THA
Timor-Leste,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,TIM
Tonga,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,-3.7,,2009-2015,%,10.1.1,TON
Turkmenistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,TKM
Tuvalu,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,TUV
Uzbekistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,UZB
Vanuatu,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,,,,%,10.1.1,VAN
Viet Nam,10.1.1 – Growth Rates of Household Expenditure or Income per Capita,5.61,,2016-2020,%,10.1.1,VIE
Afghanistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,AFG
Armenia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.26,,2013-2018,%,10.1.1,ARM
Azerbaijan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,AZE
Bangladesh,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.35,,2010-2016,%,10.1.1,BAN
Bhutan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.63,,2012-2017,%,10.1.1,BHU
Brunei Darussalam,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,BRU
Cambodia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,CAM
"China, People's Republic of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,7.2,,2014-2019,%,10.1.1,PRC
Cook Islands,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,COO
Fiji,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,FIJ
Georgia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,0.2,,2016-2021,%,10.1.1,GEO
"Hong Kong, China",10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,HKG
India,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,4.48,,2015-2019,%,10.1.1,IND
Indonesia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,3.44,,2017-2022,%,10.1.1,INO
Kazakhstan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,-0.3,,2013-2018,%,10.1.1,KAZ
Kiribati,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,KIR
"Korea, Republic of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.52,,2012-2016,%,10.1.1,KOR
Kyrgyz Republic,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,0.76,,2015-2020,%,10.1.1,KGZ
Lao People's Democratic Republic,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.91,,2012-2018,%,10.1.1,LAO
Malaysia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,4.05,,2015-2018,%,10.1.1,MAL
Maldives,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,MLD
Marshall Islands,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,RMI
"Micronesia, Federated States of",10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,FSM
Mongolia,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.48,,2016-2018,%,10.1.1,MON
Myanmar,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,9.46,,2015-2017,%,10.1.1,MYA
Nauru,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,NAU
Nepal,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,NEP
Niue,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,NIU
Pakistan,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.34,,2013-2018,%,10.1.1,PAK
Palau,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,PLW
Papua New Guinea,10.1.1 – Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,,,%,10.1.1,PNG
